 ----------------------header-------------------------- 2018-08-07 16:48:52,030 [9] INFO  loginfo - 文件接收工具启动
2018-08-07 16:58:00,802 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,862 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,912 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,972 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,022 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,082 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,142 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,192 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,252 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,312 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,362 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,422 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,472 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,532 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,592 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,652 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,702 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,762 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,822 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,872 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,932 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:01,992 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,042 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,102 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,152 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,212 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,262 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,322 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,382 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,432 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,492 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,542 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,602 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,662 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:02,722 [15] INFO  loginfo - 收到数据文件
 ----------------------header-------------------------- 2018-08-07 17:02:13,567 [10] INFO  loginfo - 文件接收工具启动
2018-08-07 17:02:50,095 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,105 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,155 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,215 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,275 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,325 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,385 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,435 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,495 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,555 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,605 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,665 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,725 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,785 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,835 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,895 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:50,955 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:51,015 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:51,065 [14] INFO  loginfo - 收到数据文件
2018-08-07 17:02:51,126 [14] INFO  loginfo - 收到数据文件
